Wavelength_Angs Flux(erg/s/cm2/A) flux_err
3.815926025390625000e+03 1.294947147369384766e+01 3.483046889305114746e-01
3.816805908203125000e+03 1.277784347534179688e+01 3.499697744846343994e-01
3.817684082031250000e+03 1.324538612365722656e+01 3.488012254238128662e-01
3.818562255859375000e+03 1.041047477722167969e+01 3.549525141716003418e-01
3.819442871093750000e+03 1.275505161285400391e+01 3.500911891460418701e-01
3.820321533203125000e+03 1.481101703643798828e+01 3.412335813045501709e-01
3.821202392578125000e+03 2.486224937438964844e+01 2.526353597640991211e-01
3.822081542968750000e+03 1.300422668457031250e+01 2.717828750610351562e-01
3.822962890625000000e+03 1.726651382446289062e+01 3.335136473178863525e-01
3.823842285156250000e+03 1.952981758117675781e+01 3.301146924495697021e-01
3.824724121093750000e+03 1.795166778564453125e+01 3.369222581386566162e-01
3.825604003906250000e+03 1.555046367645263672e+01 3.452798724174499512e-01
3.826484130859375000e+03 1.354687213897705078e+01 3.518865704536437988e-01
3.827366455078125000e+03 1.291061878204345703e+01 3.533554673194885254e-01
3.828246826171875000e+03 1.016364383697509766e+01 3.604300320148468018e-01
3.829129638671875000e+03 1.369973373413085938e+01 3.484390079975128174e-01
3.830010498046875000e+03 1.686033439636230469e+01 3.429430723190307617e-01
3.830893798828125000e+03 1.352193164825439453e+01 3.419037163257598877e-01
3.831775146484375000e+03 1.298073768615722656e+01 3.411974012851715088e-01
3.832656494140625000e+03 1.613414192199707031e+01 3.381652832031250000e-01
3.833540283203125000e+03 1.441579437255859375e+01 3.484972417354583740e-01
3.834422363281250000e+03 1.431058597564697266e+01 3.556282520294189453e-01
3.835306396484375000e+03 1.554808139801025391e+01 3.508891463279724121e-01
3.836188720703125000e+03 8.709239959716796875e+00 3.662061095237731934e-01
3.837073486328125000e+03 1.124312496185302734e+01 3.636131584644317627e-01
3.837956054687500000e+03 1.181272983551025391e+01 3.587904274463653564e-01
3.838839111328125000e+03 1.097176265716552734e+01 3.627809882164001465e-01
3.839724365234375000e+03 1.582719612121582031e+01 3.476345539093017578e-01
3.840607666015625000e+03 1.342644309997558594e+01 3.502966761589050293e-01
3.841493164062500000e+03 1.033592987060546875e+01 3.521834015846252441e-01
3.842376953125000000e+03 9.544944763183593750e+00 3.522473573684692383e-01
3.843262939453125000e+03 1.060255050659179688e+01 3.549922704696655273e-01
3.844147216796875000e+03 1.206905746459960938e+01 3.588323593139648438e-01
3.845031494140625000e+03 1.170464801788330078e+01 3.641819953918457031e-01
3.845918212890625000e+03 1.419084739685058594e+01 3.638918995857238770e-01
3.846802978515625000e+03 1.158716583251953125e+01 3.818269073963165283e-01
3.847689941406250000e+03 7.364949226379394531e+00 4.028847515583038330e-01
3.848575195312500000e+03 8.151756286621093750e+00 4.154211878776550293e-01
3.849462646484375000e+03 1.285080718994140625e+01 4.038219749927520752e-01
3.850348144531250000e+03 1.621012115478515625e+01 3.938644826412200928e-01
3.851233886718750000e+03 1.261053848266601562e+01 4.064754545688629150e-01
3.852122070312500000e+03 7.647226333618164062e+00 4.228236973285675049e-01
3.853008300781250000e+03 8.910813331604003906e+00 4.159915149211883545e-01
3.853896728515625000e+03 1.174658489227294922e+01 3.976340591907501221e-01
3.854783203125000000e+03 1.325194549560546875e+01 3.788512647151947021e-01
3.855672119140625000e+03 1.147554874420166016e+01 3.823462724685668945e-01
3.856559082031250000e+03 1.555644607543945312e+01 3.740754723548889160e-01
3.857446289062500000e+03 1.499592590332031250e+01 3.843352198600769043e-01
3.858335937500000000e+03 1.341503238677978516e+01 3.714278340339660645e-01
3.859223388671875000e+03 1.753988075256347656e+01 3.726909458637237549e-01
3.860113525390625000e+03 1.762468719482421875e+01 3.922665715217590332e-01
3.861001464843750000e+03 1.438904857635498047e+01 4.023120403289794922e-01
3.861891845703125000e+03 1.507778358459472656e+01 4.037339687347412109e-01
3.862780273437500000e+03 1.212901020050048828e+01 4.110592901706695557e-01
