Wavelength_Angs Flux(erg/s/cm2/A)
3.499999642579027750e+03 4.559100139886140823e-03
3.500805640069607307e+03 4.729200154542922974e-03
3.501611823169332183e+03 4.870499949902296066e-03
3.502418191920952722e+03 4.929500166326761246e-03
3.503224746367214266e+03 5.001300014555454254e-03
3.504031486550886711e+03 5.011000204831361771e-03
3.504838412514735865e+03 4.961099941283464432e-03
3.505645524301551177e+03 4.958299919962882996e-03
3.506452821954117098e+03 4.836699925363063812e-03
3.507260305515243545e+03 4.777700174599885941e-03
3.508067975027734974e+03 4.784400109201669693e-03
3.508875830534420857e+03 4.701599944382905960e-03
3.509683872078124750e+03 4.613699857145547867e-03
3.510492099701696588e+03 4.519300069659948349e-03
3.511300513447979483e+03 4.381299950182437897e-03
3.512109113359842468e+03 4.223399795591831207e-03
3.512917899480149572e+03 4.158900119364261627e-03
3.513726871851788474e+03 4.139299970120191574e-03
3.514536030517643667e+03 4.139699973165988922e-03
3.515345375520622383e+03 4.227200057357549667e-03
3.516154906903628671e+03 4.405499901622533798e-03
3.516964624709589771e+03 4.622200038284063339e-03
3.517774528981432468e+03 4.748700186610221863e-03
3.518584619762094007e+03 4.786400124430656433e-03
3.519394897094531188e+03 4.737600218504667282e-03
3.520205361021697172e+03 4.647799767553806305e-03
3.521016011586569221e+03 4.483200144022703171e-03
3.521826848832120049e+03 4.295600112527608871e-03
3.522637872801346020e+03 4.063600208610296249e-03
3.523449083537240313e+03 3.887499915435910225e-03
3.524260481082819297e+03 3.799600061029195786e-03
3.525072065481095251e+03 3.654599888250231743e-03
3.525883836775105010e+03 3.637700108811259270e-03
3.526695795007880861e+03 3.737400053068995476e-03
3.527507940222478283e+03 3.891099942848086357e-03
3.528320272461950026e+03 4.156399983912706375e-03
3.529132791769372034e+03 4.377699922770261765e-03
3.529945498187816156e+03 4.545799922198057175e-03
3.530758391760378345e+03 4.636399913579225540e-03
3.531571472530150004e+03 4.655899945646524429e-03
3.532384740540247549e+03 4.683599807322025299e-03
3.533198195833785576e+03 4.729900043457746506e-03
3.534011838453889141e+03 4.831700120121240616e-03
3.534825668443704217e+03 4.942100029438734055e-03
3.535639685846371776e+03 4.985500127077102661e-03
3.536453890705057347e+03 5.009300075471401215e-03
3.537268283062922364e+03 5.066500045359134674e-03
3.538082862963151911e+03 5.130900070071220398e-03
3.538897630448927430e+03 5.150999873876571655e-03
3.539712585563453558e+03 5.155900027602910995e-03
3.540527728349931749e+03 5.172700155526399612e-03
3.541343058851587102e+03 5.156499799340963364e-03
3.542158577111640625e+03 5.135899875313043594e-03
3.542974283173336971e+03 5.130200181156396866e-03
3.543790177079917157e+03 5.134600214660167694e-03
3.544606258874646301e+03 5.144000053405761719e-03
3.545422528600784972e+03 5.148000083863735199e-03
3.546238986301617842e+03 5.156499799340963364e-03
3.547055632020425946e+03 5.131499841809272766e-03
3.547872465800514419e+03 5.126299802213907242e-03
3.548689487685182939e+03 5.084999836981296539e-03
3.549506697717756651e+03 5.048399791121482849e-03
3.550324095941559790e+03 5.042599979788064957e-03
3.551141682399926594e+03 5.003199912607669830e-03
3.551959457136211313e+03 4.915699828416109085e-03
3.552777420193764556e+03 4.829300101846456528e-03
3.553595571615961489e+03 4.755099769681692123e-03
3.554413911446171824e+03 4.685999825596809387e-03
3.555232439727790734e+03 4.636100027710199356e-03
3.556051156504208393e+03 4.657899960875511169e-03
3.556870061818839531e+03 4.680600017309188843e-03
3.557689155715094785e+03 4.681199789047241211e-03
3.558508438236407983e+03 4.679999779909849167e-03
3.559327909426210681e+03 4.646100103855133057e-03
3.560147569327956717e+03 4.654400050640106201e-03
3.560967417985096745e+03 4.716400057077407837e-03
3.561787455441105521e+03 4.739500116556882858e-03
3.562607681739453255e+03 4.756200127303600311e-03
3.563428096923634712e+03 4.703800193965435028e-03
3.564248701037140108e+03 4.540199879556894302e-03
3.565069494123484674e+03 4.319000057876110077e-03
3.565890476226182727e+03 4.077100194990634918e-03
3.566711647388757228e+03 3.899999894201755524e-03
3.567533007654753874e+03 3.790100105106830597e-03
3.568354557067712449e+03 3.771400079131126404e-03
3.569176295671198659e+03 3.708699950948357582e-03
3.569998223508772753e+03 3.632300067692995071e-03
3.570820340624019536e+03 3.671099897474050522e-03
3.571642647060519721e+03 3.750500036403536797e-03
3.572465142861878121e+03 3.834699979051947594e-03
3.573287828071695913e+03 3.982100170105695724e-03
3.574110702733597918e+03 4.111700225621461868e-03
3.574933766891204868e+03 4.225499927997589111e-03
3.575757020588162504e+03 4.281300120055675507e-03
3.576580463868111110e+03 4.261199850589036942e-03
3.577404096774715981e+03 4.195999819785356522e-03
3.578227919351638320e+03 4.052899777889251709e-03
3.579051931642563886e+03 3.915399778634309769e-03
3.579876133691172981e+03 3.722100052982568741e-03
