Wavelength_Angs Flux(erg/s/cm2/A)
3.499999642579027750e+03 9.238700382411479950e-03
3.500805640069607307e+03 9.384600445628166199e-03
3.501611823169332183e+03 9.395900182425975800e-03
3.502418191920952722e+03 9.246099740266799927e-03
3.503224746367214266e+03 9.493100456893444061e-03
3.504031486550886711e+03 9.433399885892868042e-03
3.504838412514735865e+03 9.365499950945377350e-03
3.505645524301551177e+03 9.367099963128566742e-03
3.506452821954117098e+03 9.133500047028064728e-03
3.507260305515243545e+03 9.126899763941764832e-03
3.508067975027734974e+03 9.297199547290802002e-03
3.508875830534420857e+03 9.372199885547161102e-03
3.509683872078124750e+03 9.357100352644920349e-03
3.510492099701696588e+03 9.116699919104576111e-03
3.511300513447979483e+03 8.983300067484378815e-03
3.512109113359842468e+03 9.096600115299224854e-03
3.512917899480149572e+03 9.174499660730361938e-03
3.513726871851788474e+03 9.002099744975566864e-03
3.514536030517643667e+03 8.844500407576560974e-03
3.515345375520622383e+03 9.088600054383277893e-03
3.516154906903628671e+03 9.407100267708301544e-03
3.516964624709589771e+03 9.549199603497982025e-03
3.517774528981432468e+03 9.530100040137767792e-03
3.518584619762094007e+03 9.689000435173511505e-03
3.519394897094531188e+03 9.723200462758541107e-03
3.520205361021697172e+03 9.445199742913246155e-03
3.521016011586569221e+03 9.371199645102024078e-03
3.521826848832120049e+03 9.376400150358676910e-03
3.522637872801346020e+03 9.341400116682052612e-03
3.523449083537240313e+03 9.125100448727607727e-03
3.524260481082819297e+03 9.018200449645519257e-03
3.525072065481095251e+03 8.943200111389160156e-03
3.525883836775105010e+03 9.017700329422950745e-03
3.526695795007880861e+03 9.126599878072738647e-03
3.527507940222478283e+03 9.056500159204006195e-03
3.528320272461950026e+03 9.447200223803520203e-03
3.529132791769372034e+03 9.837299585342407227e-03
3.529945498187816156e+03 9.809000417590141296e-03
3.530758391760378345e+03 9.870399720966815948e-03
3.531571472530150004e+03 9.689499624073505402e-03
3.532384740540247549e+03 9.429600089788436890e-03
3.533198195833785576e+03 9.521899744868278503e-03
3.534011838453889141e+03 9.661899879574775696e-03
3.534825668443704217e+03 9.806700050830841064e-03
3.535639685846371776e+03 9.822700172662734985e-03
3.536453890705057347e+03 9.873700328171253204e-03
3.537268283062922364e+03 9.906100109219551086e-03
